FR;FRNW;FRNN;Weibull_FR;Normal_FR;FW;FWNW;FWNN;Weibull_FW;Normal_FW;FT;FTNW;FTNW;Weibull_FT;Normal_FT;;;Weibull;Normal;;Weibull;Normal;;Weibull;Normal
267.1398601;-5.162297855;-12.75692341;0;1.17046E-35;25.05594406;-25.34903311;-66.82816292;0;0;106.527972;-2.873496;-9.532754498;0;4.21964E-20;;;;;;;;;;
267.1448551;-5.147164741;-12.7249838;0;1.75829E-35;25.05794206;-25.30960974;-66.72787146;0;0;106.528971;-2.871223669;-9.527041798;0;4.45573E-20;;;;;;;;;;
267.1498501;-5.132031628;-12.69304418;0;2.63864E-35;25.05994006;-25.27018638;-66.62758;0;0;106.52997;-2.868951338;-9.521329097;0;4.70488E-20;;;;;;;;;;
267.1548452;-5.116898515;-12.66110457;0;3.95573E-35;25.06193806;-25.23076301;-66.52728854;0;0;106.530969;-2.866679007;-9.515616397;0;4.9678E-20;;;;;;;;;;
267.1598402;-5.101765402;-12.62916495;0;5.92419E-35;25.06393606;-25.19133965;-66.42699708;0;0;106.531968;-2.864406676;-9.509903697;0;5.24524E-20;;;;;;;;;;
267.1648352;-5.086632289;-12.59722534;0;8.86318E-35;25.06593407;-25.15191628;-66.32670562;0;0;106.532967;-2.862134345;-9.504190996;0;5.53799E-20;;;;;;;;;;
267.1698302;-5.071499176;-12.56528572;0;1.32467E-34;25.06793207;-25.11249292;-66.22641416;0;0;106.533966;-2.859862014;-9.498478296;0;5.84689E-20;;;;;;;;;;
267.1748252;-5.056366063;-12.5333461;0;1.97779E-34;25.06993007;-25.07306956;-66.1261227;0;0;106.534965;-2.857589683;-9.492765596;0;6.17282E-20;;;;;;;;;;
267.1798202;-5.04123295;-12.50140649;0;2.94993E-34;25.07192807;-25.03364619;-66.02583124;0;0;106.535964;-2.855317352;-9.487052895;0;6.5167E-20;;;;;;;;;;
267.1848152;-5.026099837;-12.46946687;0;4.39541E-34;25.07392607;-24.99422283;-65.92553978;0;0;106.536963;-2.853045021;-9.481340195;0;6.87952E-20;;;;;;;;;;
267.1898102;-5.010966724;-12.43752726;0;6.54251E-34;25.07592408;-24.95479946;-65.82524832;0;0;106.537962;-2.85077269;-9.475627495;0;7.2623E-20;;;;;;;;;;
267.1948052;-4.995833611;-12.40558764;0;9.72851E-34;25.07792208;-24.9153761;-65.72495686;0;0;106.538961;-2.848500359;-9.469914794;0;7.66613E-20;;;;;;;;;;
267.1998002;-4.980700498;-12.37364803;0;1.44512E-33;25.07992008;-24.87595274;-65.6246654;0;0;106.53996;-2.846228028;-9.464202094;0;8.09215E-20;;;;;;;;;;
267.2047952;-4.965567385;-12.34170841;0;2.14448E-33;25.08191808;-24.83652937;-65.52437394;0;0;106.540959;-2.843955697;-9.458489394;0;8.54156E-20;;;;;;;;;;
267.2097902;-4.950434271;-12.30976879;0;3.17902E-33;25.08391608;-24.79710601;-65.42408248;0;0;106.541958;-2.841683366;-9.452776693;0;9.01564E-20;;;;;;;;;;
267.2147852;-4.935301158;-12.27782918;0;4.70786E-33;25.08591409;-24.75768264;-65.32379101;0;0;106.542957;-2.839411035;-9.447063993;0;9.51572E-20;;;;;;;;;;
267.2197802;-4.920168045;-12.24588956;0;6.96483E-33;25.08791209;-24.71825928;-65.22349955;0;0;106.543956;-2.837138704;-9.441351293;0;1.00432E-19;;;;;;;;;;
267.2247752;-4.905034932;-12.21394995;0;1.02933E-32;25.08991009;-24.67883591;-65.12320809;0;0;106.544955;-2.834866373;-9.435638592;0;1.05996E-19;;;;;;;;;;
267.2297702;-4.889901819;-12.18201033;0;1.51969E-32;25.09190809;-24.63941255;-65.02291663;0;0;106.545954;-2.832594042;-9.429925892;0;1.11865E-19;;;;;;;;;;
267.2347652;-4.874768706;-12.15007072;0;2.24136E-32;25.09390609;-24.59998919;-64.92262517;0;0;106.546953;-2.830321711;-9.424213192;0;1.18054E-19;;;;;;;;;;
267.2397602;-4.859635593;-12.1181311;0;3.30238E-32;25.0959041;-24.56056582;-64.82233371;0;0;106.547952;-2.82804938;-9.418500491;0;1.24582E-19;;;;;;;;;;
267.2447552;-4.84450248;-12.08619148;0;4.86069E-32;25.0979021;-24.52114246;-64.72204225;0;0;106.548951;-2.825777049;-9.412787791;0;1.31467E-19;;;;;;;;;;
267.2497502;-4.829369367;-12.05425187;0;7.14705E-32;25.0999001;-24.48171909;-64.62175079;0;0;106.54995;-2.823504718;-9.407075091;0;1.38727E-19;;;;;;;;;;
267.2547453;-4.814236254;-12.02231225;0;1.04981E-31;25.1018981;-24.44229573;-64.52145933;0;0;106.5509491;-2.821232387;-9.40136239;0;1.46384E-19;;;;;;;;;;
267.2597403;-4.799103141;-11.99037264;0;1.54047E-31;25.1038961;-24.40287237;-64.42116787;0;0;106.5519481;-2.818960056;-9.39564969;0;1.54458E-19;;;;;;;;;;
267.2647353;-4.783970028;-11.95843302;0;2.25815E-31;25.10589411;-24.363449;-64.32087641;0;0;106.5529471;-2.816687725;-9.38993699;0;1.62972E-19;;;;;;;;;;
267.2697303;-4.768836914;-11.92649341;0;3.30682E-31;25.10789211;-24.32402564;-64.22058495;0;0;106.5539461;-2.814415394;-9.384224289;0;1.71951E-19;;;;;;;;;;
267.2747253;-4.753703801;-11.89455379;0;4.83752E-31;25.10989011;-24.28460227;-64.12029349;0;0;106.5549451;-2.812143063;-9.378511589;0;1.81417E-19;;;;;;;;;;
267.2797203;-4.738570688;-11.86261417;0;7.06958E-31;25.11188811;-24.24517891;-64.02000203;0;0;106.5559441;-2.809870732;-9.372798889;0;1.91399E-19;;;;;;;;;;
267.2847153;-4.723437575;-11.83067456;0;1.0321E-30;25.11388611;-24.20575555;-63.91971057;0;0;106.5569431;-2.807598401;-9.367086188;0;2.01923E-19;;;;;;;;;;
267.2897103;-4.708304462;-11.79873494;0;1.50524E-30;25.11588412;-24.16633218;-63.81941911;0;0;106.5579421;-2.80532607;-9.361373488;0;2.13019E-19;;;;;;;;;;
267.2947053;-4.693171349;-11.76679533;0;2.19304E-30;25.11788212;-24.12690882;-63.71912765;0;0;106.5589411;-2.803053739;-9.355660787;0;2.24718E-19;;;;;;;;;;
267.2997003;-4.678038236;-11.73485571;0;3.19186E-30;25.11988012;-24.08748545;-63.61883619;0;0;106.5599401;-2.800781408;-9.349948087;0;2.37051E-19;;;;;;;;;;
267.3046953;-4.662905123;-11.7029161;0;4.64086E-30;25.12187812;-24.04806209;-63.51854473;0;0;106.5609391;-2.798509077;-9.344235387;0;2.50053E-19;;;;;;;;;;
267.3096903;-4.64777201;-11.67097648;0;6.74079E-30;25.12387612;-24.00863872;-63.41825327;0;0;106.5619381;-2.796236746;-9.338522686;0;2.63759E-19;;;;;;;;;;
267.3146853;-4.632638897;-11.63903686;0;9.78092E-30;25.12587413;-23.96921536;-63.31796181;0;0;106.5629371;-2.793964415;-9.332809986;0;2.78208E-19;;;;;;;;;;
267.3196803;-4.617505784;-11.60709725;0;1.41777E-29;25.12787213;-23.929792;-63.21767035;0;0;106.5639361;-2.791692084;-9.327097286;0;2.93438E-19;;;;;;;;;;
267.3246753;-4.602372671;-11.57515763;0;2.053E-29;25.12987013;-23.89036863;-63.11737889;0;0;106.5649351;-2.789419753;-9.321384585;0;3.09493E-19;;;;;;;;;;
267.3296703;-4.587239558;-11.54321802;0;2.96981E-29;25.13186813;-23.85094527;-63.01708743;0;0;106.5659341;-2.787147422;-9.315671885;0;3.26415E-19;;;;;;;;;;
267.3346653;-4.572106444;-11.5112784;0;4.29166E-29;25.13386613;-23.8115219;-62.91679597;0;0;106.5669331;-2.784875091;-9.309959185;0;3.44251E-19;;;;;;;;;;
267.3396603;-4.556973331;-11.47933879;0;6.19553E-29;25.13586414;-23.77209854;-62.81650451;0;0;106.5679321;-2.78260276;-9.304246484;0;3.63049E-19;;;;;;;;;;
267.3446553;-4.541840218;-11.44739917;0;8.93489E-29;25.13786214;-23.73267518;-62.71621305;0;0;106.5689311;-2.780330429;-9.298533784;0;3.82862E-19;;;;;;;;;;
267.3496503;-4.526707105;-11.41545955;0;1.28723E-28;25.13986014;-23.69325181;-62.61592159;0;0;106.5699301;-2.778058098;-9.292821084;0;4.03743E-19;;;;;;;;;;
267.3546454;-4.511573992;-11.38351994;0;1.8526E-28;25.14185814;-23.65382845;-62.51563013;0;0;106.5709291;-2.775785767;-9.287108383;0;4.25748E-19;;;;;;;;;;
267.3596404;-4.496440879;-11.35158032;0;2.66356E-28;25.14385614;-23.61440508;-62.41533867;0;0;106.5719281;-2.773513436;-9.281395683;0;4.48939E-19;;;;;;;;;;
267.3646354;-4.481307766;-11.31964071;0;3.82562E-28;25.14585415;-23.57498172;-62.31504721;0;0;106.5729271;-2.771241105;-9.275682983;0;4.73377E-19;;;;;;;;;;
267.3696304;-4.466174653;-11.28770109;0;5.48905E-28;25.14785215;-23.53555835;-62.21475575;0;0;106.5739261;-2.768968774;-9.269970282;0;4.99129E-19;;;;;;;;;;
267.3746254;-4.45104154;-11.25576148;0;7.86773E-28;25.14985015;-23.49613499;-62.11446429;0;0;106.5749251;-2.766696443;-9.264257582;0;5.26265E-19;;;;;;;;;;
267.3796204;-4.435908427;-11.22382186;0;1.12657E-27;25.15184815;-23.45671163;-62.01417283;0;0;106.5759241;-2.764424112;-9.258544882;0;5.54858E-19;;;;;;;;;;
267.3846154;-4.420775314;-11.19188224;0;1.61148E-27;25.15384615;-23.41728826;-61.91388137;0;0;106.5769231;-2.762151781;-9.252832181;0;5.84986E-19;;;;;;;;;;
267.3896104;-4.405642201;-11.15994263;0;2.30276E-27;25.15584416;-23.3778649;-61.81358991;0;0;106.5779221;-2.75987945;-9.247119481;0;6.16729E-19;;;;;;;;;;
267.3946054;-4.390509087;-11.12800301;0;3.28722E-27;25.15784216;-23.33844153;-61.71329844;0;0;106.5789211;-2.757607119;-9.241406781;0;6.50174E-19;;;;;;;;;;
267.3996004;-4.375375974;-11.0960634;0;4.68777E-27;25.15984016;-23.29901817;-61.61300698;0;0;106.5799201;-2.755334788;-9.23569408;0;6.8541E-19;;;;;;;;;;
267.4045954;-4.360242861;-11.06412378;0;6.67821E-27;25.16183816;-23.25959481;-61.51271552;0;0;106.5809191;-2.753062457;-9.22998138;0;7.22532E-19;;;;;;;;;;
267.4095904;-4.345109748;-11.03218417;0;9.50411E-27;25.16383616;-23.22017144;-61.41242406;0;0;106.5819181;-2.750790126;-9.22426868;0;7.6164E-19;;;;;;;;;;
267.4145854;-4.329976635;-11.00024455;0;1.3512E-26;25.16583417;-23.18074808;-61.3121326;0;0;106.5829171;-2.748517795;-9.218555979;0;8.02838E-19;;;;;;;;;;
267.4195804;-4.314843522;-10.96830493;0;1.91904E-26;25.16783217;-23.14132471;-61.21184114;0;0;106.5839161;-2.746245464;-9.212843279;0;8.46237E-19;;;;;;;;;;
